incident_id,timestamp,date,crime_type,attack_method,severity,financial_impact_usd,target_type,location,source_ip_country,system_affected,time_of_day,risk_score
INC-2025-0019,2025-04-07 08:00:00,2025-04-07,Data Exfiltration,Ransomware Binary,High,72671.0,E-Commerce,Asia-Pacific,BR,Active Directory,Evening,50.1
INC-2025-0020,2025-05-28 06:00:00,2025-05-28,Phishing,Zero-day Exploit,Medium,107642.0,Critical Infrastructure,North America,US,Identity Provider,Night,26.5
INC-2025-0021,2025-05-31 09:00:00,2025-05-31,Phishing,SQL Injection,High,113561.0,Healthcare,North America,BR,Active Directory,Morning,77.2
INC-2025-0022,2025-02-06 22:00:00,2025-02-06,Phishing,Man-in-the-Middle,Critical,21932.0,Financial Service,North America,RU,POS Terminal,Night,46.5
INC-2025-0023,2025-04-26 10:00:00,2025-04-26,Financial Fraud,SQL Injection,Critical,326184.0,Educational Institution,North America,RU,Cloud Database,Morning,77.8
INC-2025-0024,2025-06-12 15:00:00,2025-06-12,Ransomware,Ransomware Binary,High,52869.0,E-Commerce,North America,BR,Cloud Database,Night,91.8
INC-2025-0025,2025-05-15 02:00:00,2025-05-15,Phishing,Social Engineering,Low,59871.0,Critical Infrastructure,Asia-Pacific,RU,Email Gateway,Evening,47.3
INC-2025-0026,2025-02-20 21:00:00,2025-02-20,Ransomware,Ransomware Binary,Critical,184508.0,Government,Asia-Pacific,CN,Web Application,Afternoon,93.5
INC-2025-0027,2025-11-13 15:00:00,2025-11-13,DDoS Attack,API Key Abuse,Medium,230732.0,Critical Infrastructure,Africa,DE,Email Gateway,Evening,18.9
INC-2025-0028,2025-06-30 02:00:00,2025-06-30,Insider Threat,Social Engineering,Critical,181373.0,Critical Infrastructure,North America,BR,Web Application,Morning,72.2
INC-2025-0029,2025-10-08 09:00:00,2025-10-08,Phishing,Spear Phishing Email,Medium,27641.0,Educational Institution,Europe,UK,Identity Provider,Evening,37.6
INC-2025-0030,2025-10-26 21:00:00,2025-10-26,Credential Theft,Zero-day Exploit,Medium,163823.0,Tech Enterprise,Middle East,CA,Identity Provider,Evening,40.8
INC-2025-0031,2025-11-09 03:00:00,2025-11-09,Ransomware,Man-in-the-Middle,Critical,530761.0,Educational Institution,Africa,RU,Active Directory,Afternoon,73.6
INC-2025-0032,2025-06-02 21:00:00,2025-06-02,Phishing,API Key Abuse,Medium,119834.0,Healthcare,Europe,UK,Cloud Database,Night,52.0
INC-2025-0033,2025-04-11 00:00:00,2025-04-11,Phishing,API Key Abuse,Medium,69027.0,Critical Infrastructure,Middle East,IN,Active Directory,Afternoon,26.9
INC-2025-0034,2025-11-07 07:00:00,2025-11-07,Phishing,SQL Injection,Medium,81738.0,Critical Infrastructure,Middle East,CN,Active Directory,Afternoon,46.7
INC-2025-0035,2025-04-02 22:00:00,2025-04-02,Ransomware,Spear Phishing Email,High,784994.0,Educational Institution,North America,DE,Cloud Database,Afternoon,54.0
INC-2025-0036,2025-04-28 15:00:00,2025-04-28,Malware Outbreak,API Key Abuse,Low,8805.0,Financial Service,Middle East,DE,Cloud Database,Night,26.3
INC-2025-0037,2025-12-15 22:00:00,2025-12-15,Credential Theft,Man-in-the-Middle,High,118429.0,Government,Middle East,UK,Cloud Database,Morning,66.3
INC-2025-0038,2025-08-26 19:00:00,2025-08-26,Phishing,Social Engineering,Low,52293.0,E-Commerce,Latin America,CA,Identity Provider,Night,26.1
INC-2025-0039,2025-12-23 22:00:00,2025-12-23,Financial Fraud,SQL Injection,Low,64101.0,Healthcare,Europe,RU,Identity Provider,Night,30.1
INC-2025-0040,2025-10-07 15:00:00,2025-10-07,Financial Fraud,Social Engineering,High,32663.0,Tech Enterprise,Europe,US,Active Directory,Night,72.9
INC-2025-0041,2025-02-02 00:00:00,2025-02-02,DDoS Attack,SQL Injection,High,16938.0,Critical Infrastructure,Asia-Pacific,US,Cloud Database,Night,72.2
INC-2025-0042,2025-04-05 13:00:00,2025-04-05,Malware Outbreak,SQL Injection,Low,87027.0,Healthcare,Middle East,RU,Identity Provider,Evening,42.0
INC-2025-0043,2025-03-31 01:00:00,2025-03-31,Ransomware,Zero-day Exploit,High,688873.0,Healthcare,Middle East,CN,Web Application,Evening,64.6
INC-2025-0044,2025-09-06 03:00:00,2025-09-06,Financial Fraud,SQL Injection,Medium,225156.0,Healthcare,Middle East,NL,POS Terminal,Morning,9.3
INC-2025-0045,2025-04-06 23:00:00,2025-04-06,Insider Threat,SQL Injection,High,246582.0,Critical Infrastructure,North America,IN,Web Application,Evening,67.7
INC-2025-0046,2025-03-03 19:00:00,2025-03-03,Insider Threat,Spear Phishing Email,High,684736.0,Financial Service,Africa,RU,Cloud Database,Night,81.1
INC-2025-0047,2025-10-11 13:00:00,2025-10-11,Phishing,Spear Phishing Email,High,70896.0,Healthcare,Middle East,DE,POS Terminal,Night,62.0
INC-2025-0048,2025-05-31 15:00:00,2025-05-31,Ransomware,Brute Force,High,692612.0,Financial Service,Middle East,DE,Identity Provider,Afternoon,95.4
INC-2025-0049,2025-08-03 10:00:00,2025-08-03,Phishing,API Key Abuse,Low,24714.0,Financial Service,Middle East,UK,Email Gateway,Morning,48.3
INC-2025-0050,2025-07-13 04:00:00,2025-07-13,Phishing,Spear Phishing Email,High,20065.0,E-Commerce,Middle East,UK,POS Terminal,Night,72.4
INC-2025-0051,2025-11-23 12:00:00,2025-11-23,Ransomware,Spear Phishing Email,Critical,535008.0,Tech Enterprise,Asia-Pacific,UK,POS Terminal,Afternoon,55.0
INC-2025-0052,2025-05-21 17:00:00,2025-05-21,Malware Outbreak,API Key Abuse,Medium,87188.0,Critical Infrastructure,Africa,CA,Active Directory,Night,55.4
INC-2025-0053,2025-12-14 16:00:00,2025-12-14,Insider Threat,API Key Abuse,High,613586.0,E-Commerce,Africa,CA,Active Directory,Morning,65.9
INC-2025-0054,2025-08-01 10:00:00,2025-08-01,Data Exfiltration,Social Engineering,High,536261.0,Critical Infrastructure,Middle East,BR,POS Terminal,Evening,52.3
INC-2025-0055,2025-01-14 14:00:00,2025-01-14,Data Exfiltration,Zero-day Exploit,Medium,102528.0,Educational Institution,Asia-Pacific,IN,Cloud Database,Evening,67.3
INC-2025-0056,2025-06-05 20:00:00,2025-06-05,Ransomware,Man-in-the-Middle,Medium,438043.0,Healthcare,Latin America,BR,Identity Provider,Night,23.5
INC-2025-0057,2025-08-16 21:00:00,2025-08-16,Ransomware,Zero-day Exploit,High,177016.0,E-Commerce,Middle East,RU,Web Application,Afternoon,90.9
INC-2025-0058,2025-01-10 23:00:00,2025-01-10,Malware Outbreak,Man-in-the-Middle,Medium,76672.0,Educational Institution,Europe,DE,Cloud Database,Afternoon,12.6
INC-2025-0059,2025-12-07 21:00:00,2025-12-07,Financial Fraud,Man-in-the-Middle,Critical,133778.0,Financial Service,Europe,NL,POS Terminal,Evening,68.9
INC-2025-0060,2025-07-16 04:00:00,2025-07-16,Ransomware,Man-in-the-Middle,Medium,324907.0,Educational Institution,Asia-Pacific,DE,Web Application,Morning,53.5
INC-2025-0061,2025-03-19 08:00:00,2025-03-19,Malware Outbreak,Zero-day Exploit,Medium,114748.0,Financial Service,Europe,JP,Identity Provider,Afternoon,14.5
INC-2025-0062,2025-09-25 00:00:00,2025-09-25,Credential Theft,Ransomware Binary,High,168121.0,Educational Institution,Latin America,DE,Email Gateway,Afternoon,73.0
INC-2025-0063,2025-07-26 04:00:00,2025-07-26,Financial Fraud,Spear Phishing Email,Low,20254.0,Government,Africa,CN,Email Gateway,Afternoon,57.3
INC-2025-0064,2025-11-04 05:00:00,2025-11-04,DDoS Attack,Ransomware Binary,High,261434.0,Financial Service,Latin America,IN,Identity Provider,Evening,78.2
INC-2025-0065,2025-11-26 16:00:00,2025-11-26,DDoS Attack,Social Engineering,Low,322623.0,Healthcare,Africa,DE,Identity Provider,Morning,30.8
INC-2025-0066,2025-04-21 22:00:00,2025-04-21,Phishing,Brute Force,Low,117594.0,Tech Enterprise,Asia-Pacific,UK,Active Directory,Night,10.0
INC-2025-0067,2025-06-09 17:00:00,2025-06-09,DDoS Attack,Spear Phishing Email,Critical,336868.0,E-Commerce,Middle East,CN,Active Directory,Afternoon,44.5
INC-2025-0068,2025-01-12 13:00:00,2025-01-12,Phishing,Social Engineering,Medium,105680.0,Healthcare,North America,CA,Web Application,Evening,42.6
INC-2025-0069,2025-08-27 23:00:00,2025-08-27,Phishing,Spear Phishing Email,Medium,44221.0,Financial Service,North America,RU,Web Application,Night,33.3
INC-2025-0070,2025-01-28 22:00:00,2025-01-28,Phishing,API Key Abuse,Critical,9717.0,Educational Institution,Europe,CA,Email Gateway,Evening,61.7
INC-2025-0071,2025-08-27 12:00:00,2025-08-27,Ransomware,API Key Abuse,Critical,498874.0,Government,North America,IN,Web Application,Night,59.6
INC-2025-0072,2025-05-06 11:00:00,2025-05-06,Phishing,Spear Phishing Email,High,7229.0,Financial Service,North America,BR,Cloud Database,Night,78.5
INC-2025-0073,2025-08-16 14:00:00,2025-08-16,Ransomware,Spear Phishing Email,High,76734.0,Financial Service,Latin America,RU,Identity Provider,Morning,71.0
INC-2025-0074,2025-11-11 12:00:00,2025-11-11,Ransomware,SQL Injection,High,649991.0,Educational Institution,Middle East,NL,Cloud Database,Morning,89.7
INC-2025-0075,2025-01-04 10:00:00,2025-01-04,Phishing,Ransomware Binary,Medium,73303.0,Government,Latin America,UK,Email Gateway,Morning,37.6
INC-2025-0076,2025-07-13 14:00:00,2025-07-13,Credential Theft,Ransomware Binary,High,239936.0,Government,Europe,RU,Web Application,Night,78.6
INC-2025-0077,2025-07-31 00:00:00,2025-07-31,Phishing,Zero-day Exploit,Medium,92922.0,Financial Service,Europe,UK,Web Application,Afternoon,38.2
INC-2025-0078,2025-06-10 05:00:00,2025-06-10,Phishing,SQL Injection,Medium,48362.0,Healthcare,Europe,DE,Identity Provider,Night,60.6
INC-2025-0079,2025-11-15 04:00:00,2025-11-15,Phishing,Man-in-the-Middle,High,9512.0,Government,Africa,US,Web Application,Afternoon,100.0
INC-2025-0080,2025-05-17 01:00:00,2025-05-17,Insider Threat,Zero-day Exploit,Medium,713927.0,Critical Infrastructure,Asia-Pacific,RU,Cloud Database,Night,25.9
INC-2025-0081,2025-09-24 08:00:00,2025-09-24,Insider Threat,SQL Injection,Critical,582295.0,Government,Middle East,DE,Web Application,Evening,76.4
INC-2025-0082,2025-08-25 09:00:00,2025-08-25,DDoS Attack,Zero-day Exploit,Critical,153056.0,Financial Service,Europe,JP,Email Gateway,Night,74.6
INC-2025-0083,2025-05-23 00:00:00,2025-05-23,Credential Theft,Ransomware Binary,Medium,107974.0,Tech Enterprise,Europe,DE,POS Terminal,Evening,39.9
INC-2025-0084,2025-02-11 19:00:00,2025-02-11,Phishing,Ransomware Binary,Medium,84122.0,Tech Enterprise,Middle East,US,Active Directory,Afternoon,31.7
INC-2025-0085,2025-04-07 04:00:00,2025-04-07,Malware Outbreak,SQL Injection,Critical,98720.0,Critical Infrastructure,Africa,CN,Identity Provider,Morning,57.5
INC-2025-0086,2025-10-30 03:00:00,2025-10-30,Financial Fraud,Spear Phishing Email,Low,159782.0,E-Commerce,Latin America,JP,Web Application,Night,40.8
INC-2025-0087,2025-05-10 18:00:00,2025-05-10,Phishing,API Key Abuse,Medium,4756.0,Government,Asia-Pacific,DE,Active Directory,Evening,41.2
INC-2025-0088,2025-10-30 13:00:00,2025-10-30,Data Exfiltration,Man-in-the-Middle,High,105318.0,Government,Latin America,CA,Web Application,Night,93.2
INC-2025-0089,2025-11-12 10:00:00,2025-11-12,Credential Theft,Spear Phishing Email,Medium,96751.0,Critical Infrastructure,Middle East,JP,Web Application,Night,36.6
INC-2025-0090,2025-02-20 13:00:00,2025-02-20,DDoS Attack,Spear Phishing Email,High,114945.0,Financial Service,Africa,IN,Cloud Database,Afternoon,75.9
INC-2025-0091,2025-11-09 00:00:00,2025-11-09,Phishing,Zero-day Exploit,High,118718.0,Tech Enterprise,Middle East,NL,Web Application,Morning,65.8
INC-2025-0092,2025-10-18 19:00:00,2025-10-18,Phishing,Spear Phishing Email,Low,14224.0,Financial Service,Europe,UK,Identity Provider,Evening,51.4
INC-2025-0093,2025-12-30 18:00:00,2025-12-30,Ransomware,Zero-day Exploit,Critical,712143.0,Critical Infrastructure,Africa,DE,Cloud Database,Morning,72.1
INC-2025-0094,2025-02-18 06:00:00,2025-02-18,Financial Fraud,Brute Force,High,146467.0,Financial Service,Latin America,NL,Cloud Database,Night,42.1
INC-2025-0095,2025-02-18 06:00:00,2025-02-18,Credential Theft,SQL Injection,Medium,67823.0,Tech Enterprise,Asia-Pacific,JP,POS Terminal,Afternoon,24.8
INC-2025-0096,2025-10-13 15:00:00,2025-10-13,Phishing,Social Engineering,Medium,43460.0,Government,Europe,US,Email Gateway,Evening,37.2
INC-2025-0097,2025-04-24 05:00:00,2025-04-24,Credential Theft,Zero-day Exploit,Medium,43000.0,E-Commerce,Asia-Pacific,CA,Identity Provider,Evening,29.7
INC-2025-0098,2025-10-15 17:00:00,2025-10-15,DDoS Attack,SQL Injection,High,218046.0,Tech Enterprise,Middle East,JP,Cloud Database,Morning,68.6
INC-2025-0099,2025-11-24 21:00:00,2025-11-24,Phishing,Man-in-the-Middle,Low,64230.0,Government,North America,JP,Identity Provider,Evening,47.2
INC-2025-0100,2025-06-14 21:00:00,2025-06-14,Phishing,Ransomware Binary,Medium,114453.0,E-Commerce,Africa,IN,Identity Provider,Evening,6.8
INC-2025-0101,2025-04-22 18:00:00,2025-04-22,DDoS Attack,Spear Phishing Email,Medium,189466.0,Healthcare,North America,DE,Active Directory,Evening,10.0
INC-2025-0102,2025-01-20 04:00:00,2025-01-20,Ransomware,Zero-day Exploit,High,257990.0,E-Commerce,Africa,NL,Identity Provider,Morning,91.5
INC-2025-0103,2025-06-07 23:00:00,2025-06-07,Ransomware,SQL Injection,Critical,306713.0,Financial Service,Europe,RU,Cloud Database,Afternoon,64.7
INC-2025-0104,2025-07-20 21:00:00,2025-07-20,Insider Threat,Zero-day Exploit,High,372918.0,Educational Institution,Asia-Pacific,BR,Identity Provider,Afternoon,70.0
INC-2025-0105,2025-11-22 17:00:00,2025-11-22,Malware Outbreak,Zero-day Exploit,Low,82994.0,Financial Service,Africa,CN,Cloud Database,Morning,55.2
INC-2025-0106,2025-12-28 21:00:00,2025-12-28,DDoS Attack,Zero-day Exploit,High,53756.0,E-Commerce,Asia-Pacific,NL,Email Gateway,Evening,66.9
INC-2025-0107,2025-06-22 16:00:00,2025-06-22,DDoS Attack,SQL Injection,High,52924.0,Healthcare,Africa,CN,Active Directory,Afternoon,37.4
INC-2025-0108,2025-05-29 10:00:00,2025-05-29,Insider Threat,Brute Force,Medium,627564.0,Government,Latin America,US,POS Terminal,Evening,15.8
INC-2025-0109,2025-03-10 23:00:00,2025-03-10,DDoS Attack,Ransomware Binary,Medium,271997.0,Government,North America,CN,Cloud Database,Afternoon,44.1
INC-2025-0110,2025-05-09 10:00:00,2025-05-09,Credential Theft,Spear Phishing Email,Low,173976.0,Healthcare,North America,IN,POS Terminal,Evening,12.2
INC-2025-0111,2025-04-12 01:00:00,2025-04-12,Phishing,SQL Injection,Medium,86469.0,Government,Asia-Pacific,US,Web Application,Morning,30.4
INC-2025-0112,2025-11-14 15:00:00,2025-11-14,Data Exfiltration,API Key Abuse,High,201563.0,Government,Middle East,US,Web Application,Afternoon,55.1
INC-2025-0113,2025-09-25 14:00:00,2025-09-25,DDoS Attack,Man-in-the-Middle,Medium,198624.0,Healthcare,Europe,IN,Cloud Database,Evening,30.8
INC-2025-0114,2025-12-01 20:00:00,2025-12-01,Credential Theft,Ransomware Binary,Critical,49813.0,Tech Enterprise,North America,RU,Identity Provider,Evening,66.8
INC-2025-0115,2025-04-13 16:00:00,2025-04-13,Malware Outbreak,Zero-day Exploit,High,52571.0,Critical Infrastructure,Latin America,CN,POS Terminal,Morning,45.9
INC-2025-0116,2025-02-08 14:00:00,2025-02-08,Credential Theft,Zero-day Exploit,High,214259.0,Financial Service,Latin America,UK,Cloud Database,Morning,86.2
INC-2025-0117,2025-11-07 02:00:00,2025-11-07,DDoS Attack,Man-in-the-Middle,Medium,342003.0,Government,Asia-Pacific,IN,Email Gateway,Night,36.2
INC-2025-0118,2025-08-24 15:00:00,2025-08-24,Phishing,Spear Phishing Email,Medium,74972.0,Critical Infrastructure,North America,CA,Email Gateway,Morning,51.0
INC-2025-0119,2025-06-26 02:00:00,2025-06-26,Ransomware,SQL Injection,Critical,82733.0,Healthcare,Latin America,CN,Email Gateway,Morning,37.1
INC-2025-0120,2025-03-14 14:00:00,2025-03-14,Phishing,Spear Phishing Email,Critical,113590.0,Financial Service,North America,JP,Active Directory,Night,60.5
INC-2025-0121,2025-07-17 06:00:00,2025-07-17,Data Exfiltration,Social Engineering,Critical,288506.0,Financial Service,Latin America,BR,POS Terminal,Night,99.6
INC-2025-0122,2025-11-26 10:00:00,2025-11-26,Malware Outbreak,API Key Abuse,Low,65754.0,Healthcare,North America,CA,Cloud Database,Morning,25.0
INC-2025-0123,2025-02-16 22:00:00,2025-02-16,Data Exfiltration,Man-in-the-Middle,High,648069.0,Educational Institution,North America,JP,POS Terminal,Night,86.3
INC-2025-0124,2025-11-25 03:00:00,2025-11-25,Credential Theft,Social Engineering,Medium,327648.0,Educational Institution,Middle East,CN,POS Terminal,Morning,26.4
INC-2025-0125,2025-07-14 01:00:00,2025-07-14,Ransomware,Brute Force,Medium,377304.0,Financial Service,Middle East,CN,Active Directory,Evening,39.3
INC-2025-0126,2025-02-06 15:00:00,2025-02-06,Phishing,Brute Force,High,113217.0,E-Commerce,Latin America,DE,Web Application,Morning,70.0
INC-2025-0127,2025-04-25 02:00:00,2025-04-25,Phishing,Social Engineering,Medium,3396.0,Government,Middle East,US,Email Gateway,Night,54.9
INC-2025-0128,2025-12-29 12:00:00,2025-12-29,Financial Fraud,Man-in-the-Middle,Medium,110228.0,Financial Service,Middle East,CA,Active Directory,Evening,18.0
INC-2025-0129,2025-02-14 18:00:00,2025-02-14,DDoS Attack,SQL Injection,Low,53874.0,Tech Enterprise,Europe,BR,Identity Provider,Afternoon,26.9
INC-2025-0130,2025-01-13 13:00:00,2025-01-13,Insider Threat,SQL Injection,Low,792623.0,Government,North America,NL,Cloud Database,Night,44.6
INC-2025-0131,2025-06-12 15:00:00,2025-06-12,Ransomware,SQL Injection,Low,375996.0,Healthcare,North America,CN,Active Directory,Night,39.0
INC-2025-0132,2025-12-18 03:00:00,2025-12-18,Phishing,Social Engineering,Low,14507.0,Healthcare,Latin America,US,Active Directory,Afternoon,29.0
INC-2025-0133,2025-04-30 17:00:00,2025-04-30,Insider Threat,Ransomware Binary,High,333097.0,Tech Enterprise,Middle East,US,Email Gateway,Evening,70.5
INC-2025-0134,2025-01-26 01:00:00,2025-01-26,Credential Theft,Brute Force,Medium,232286.0,Educational Institution,Europe,BR,Cloud Database,Evening,27.1
INC-2025-0135,2025-03-16 19:00:00,2025-03-16,Credential Theft,API Key Abuse,Medium,343076.0,Critical Infrastructure,Africa,RU,Cloud Database,Afternoon,42.0
INC-2025-0136,2025-12-23 19:00:00,2025-12-23,Phishing,SQL Injection,High,40214.0,Educational Institution,Asia-Pacific,NL,Web Application,Evening,73.7
INC-2025-0137,2025-11-16 16:00:00,2025-11-16,Ransomware,Zero-day Exploit,Critical,753650.0,Tech Enterprise,Latin America,JP,Active Directory,Afternoon,46.2
INC-2025-0138,2025-01-27 13:00:00,2025-01-27,Phishing,Social Engineering,High,75318.0,Healthcare,Latin America,IN,POS Terminal,Morning,86.7
INC-2025-0139,2025-02-15 14:00:00,2025-02-15,Phishing,Social Engineering,Critical,54625.0,Financial Service,Africa,BR,Active Directory,Morning,49.5
INC-2025-0140,2025-04-27 01:00:00,2025-04-27,Phishing,Spear Phishing Email,Low,6109.0,Government,Middle East,US,Web Application,Afternoon,34.3
INC-2025-0141,2025-06-15 10:00:00,2025-06-15,DDoS Attack,Zero-day Exploit,Medium,198118.0,Educational Institution,North America,JP,POS Terminal,Afternoon,46.8
INC-2025-0142,2025-02-15 14:00:00,2025-02-15,Insider Threat,Spear Phishing Email,High,437960.0,Educational Institution,Africa,BR,Cloud Database,Afternoon,71.4
INC-2025-0143,2025-08-13 00:00:00,2025-08-13,Insider Threat,Zero-day Exploit,High,623441.0,Tech Enterprise,Europe,UK,Identity Provider,Afternoon,57.9
INC-2025-0144,2025-11-01 07:00:00,2025-11-01,DDoS Attack,API Key Abuse,Medium,14078.0,Government,Middle East,RU,POS Terminal,Afternoon,51.1
INC-2025-0145,2025-02-10 17:00:00,2025-02-10,DDoS Attack,Spear Phishing Email,Low,162087.0,Tech Enterprise,Asia-Pacific,IN,POS Terminal,Night,54.0
INC-2025-0146,2025-01-03 08:00:00,2025-01-03,Credential Theft,Ransomware Binary,High,210209.0,Critical Infrastructure,Europe,CN,Email Gateway,Night,73.4
INC-2025-0147,2025-05-02 18:00:00,2025-05-02,Phishing,Social Engineering,Medium,84186.0,Tech Enterprise,Asia-Pacific,CN,Email Gateway,Afternoon,42.8
INC-2025-0148,2025-02-28 02:00:00,2025-02-28,DDoS Attack,Social Engineering,Critical,270064.0,Critical Infrastructure,Europe,RU,POS Terminal,Morning,56.4
INC-2025-0149,2025-11-01 20:00:00,2025-11-01,Phishing,API Key Abuse,Low,31027.0,Critical Infrastructure,Middle East,BR,Active Directory,Night,49.0
INC-2025-0150,2025-04-06 08:00:00,2025-04-06,Insider Threat,SQL Injection,Low,428544.0,Critical Infrastructure,Europe,DE,Identity Provider,Night,48.1
INC-2025-0151,2025-07-05 21:00:00,2025-07-05,DDoS Attack,API Key Abuse,Critical,296570.0,Healthcare,Middle East,US,POS Terminal,Afternoon,45.8
INC-2025-0152,2025-11-30 01:00:00,2025-11-30,Insider Threat,Man-in-the-Middle,High,247133.0,Tech Enterprise,Middle East,DE,Email Gateway,Morning,41.8
INC-2025-0153,2025-08-19 19:00:00,2025-08-19,Credential Theft,Ransomware Binary,Critical,103317.0,Government,North America,NL,Active Directory,Afternoon,47.7
INC-2025-0154,2025-06-13 12:00:00,2025-06-13,Financial Fraud,Social Engineering,Medium,157999.0,Tech Enterprise,Asia-Pacific,CA,POS Terminal,Afternoon,39.8
INC-2025-0155,2025-12-16 08:00:00,2025-12-16,Phishing,Zero-day Exploit,Medium,77619.0,Government,Latin America,US,Cloud Database,Night,11.7
INC-2025-0156,2025-06-24 04:00:00,2025-06-24,Ransomware,SQL Injection,Low,367348.0,Critical Infrastructure,Middle East,US,Cloud Database,Night,28.6
INC-2025-0157,2025-04-18 19:00:00,2025-04-18,Financial Fraud,SQL Injection,Critical,154381.0,Tech Enterprise,Middle East,BR,Identity Provider,Morning,63.9
INC-2025-0158,2025-02-28 04:00:00,2025-02-28,DDoS Attack,Brute Force,Medium,164476.0,Financial Service,North America,RU,Email Gateway,Night,34.4
INC-2025-0159,2025-10-26 01:00:00,2025-10-26,Phishing,Social Engineering,Medium,104674.0,Government,Europe,IN,Active Directory,Afternoon,11.8
INC-2025-0160,2025-12-02 17:00:00,2025-12-02,Phishing,Man-in-the-Middle,Low,79131.0,Healthcare,Latin America,IN,Identity Provider,Morning,42.6
INC-2025-0161,2025-01-05 14:00:00,2025-01-05,Phishing,Man-in-the-Middle,Low,14669.0,Tech Enterprise,Europe,CA,Email Gateway,Afternoon,43.2
INC-2025-0162,2025-03-17 07:00:00,2025-03-17,Phishing,Zero-day Exploit,High,97999.0,Financial Service,Africa,BR,Cloud Database,Morning,51.2
INC-2025-0163,2025-03-10 08:00:00,2025-03-10,Phishing,Man-in-the-Middle,High,43287.0,Healthcare,Africa,NL,Cloud Database,Morning,69.5
INC-2025-0164,2025-06-08 08:00:00,2025-06-08,Data Exfiltration,Social Engineering,Critical,572828.0,Government,Latin America,CN,Web Application,Afternoon,53.7
INC-2025-0165,2025-03-23 12:00:00,2025-03-23,Ransomware,Ransomware Binary,High,86321.0,Government,North America,JP,Email Gateway,Afternoon,60.5
INC-2025-0166,2025-07-18 14:00:00,2025-07-18,DDoS Attack,Social Engineering,Medium,32723.0,E-Commerce,Asia-Pacific,NL,Cloud Database,Morning,55.6
INC-2025-0167,2025-09-24 02:00:00,2025-09-24,Credential Theft,Brute Force,Medium,330593.0,Healthcare,Africa,NL,POS Terminal,Morning,41.8
INC-2025-0168,2025-04-27 11:00:00,2025-04-27,Financial Fraud,Man-in-the-Middle,High,228131.0,E-Commerce,Europe,DE,Active Directory,Night,49.3
INC-2025-0169,2025-12-30 10:00:00,2025-12-30,DDoS Attack,Man-in-the-Middle,Medium,217781.0,Government,Asia-Pacific,BR,Web Application,Morning,31.2
